,0,1,2,3,4,5,6,7
144,G08,G10,G18,G23,G27,G32,,
145,G08,G10,G18,G23,G24,G27,G32,
146,G08,G10,G18,G23,G24,G27,G32,
147,G08,G10,G18,G23,G27,G32,,
148,G08,G10,G18,G23,G27,G32,,
149,G08,G10,G23,G27,G32,,,
150,G08,G10,G23,G27,G32,,,
151,G08,G10,G23,G24,G27,G32,,
152,G08,G10,G23,G24,G27,G32,,
153,G08,G10,G18,G23,G24,G27,G32,
154,G08,G10,G18,G23,G24,G27,G32,
155,G08,G10,G18,G23,G24,G27,G32,
156,G08,G10,G23,G24,G27,G32,,
157,G08,G10,G23,G24,G27,G32,,
158,G08,G10,G21,G23,G24,G27,G32,
159,G10,G18,G21,G23,G24,G27,G32,
160,G10,G18,G21,G23,G24,G27,G32,
161,G08,G10,G18,G23,G24,G27,G32,
162,G08,G10,G21,G23,G27,G32,,
163,G08,G10,G21,G23,G27,G32,,
164,G08,G10,G21,G23,G27,G32,,
165,G08,G10,G18,G21,G23,G27,G32,
166,G08,G10,G18,G21,G23,G27,G32,
167,G08,G10,G21,G23,G27,G32,,
168,G08,G10,G21,G23,G24,G27,G32,
169,G08,G10,G18,G21,G23,G24,G27,G32
170,G08,G10,G18,G21,G23,G24,G27,G32
171,G08,G10,G18,G21,G23,G24,G27,G32
172,G08,G10,G18,G21,G23,G24,G27,G32
173,G08,G10,G18,G21,G23,G24,G27,G32
174,G08,G10,G18,G21,G23,G24,G27,G32
175,G08,G10,G18,G21,G23,G24,G27,G32
176,G08,G10,G18,G21,G23,G24,G27,G32
177,G08,G10,G18,G21,G23,G24,G27,G32
178,G08,G10,G18,G21,G23,G24,G27,G32
179,G08,G10,G18,G21,G23,G24,G27,G32
180,G08,G10,G18,G21,G23,G24,G27,G32
181,G08,G10,G18,G21,G23,G24,G27,G32
182,G08,G10,G18,G23,G24,G27,G32,
183,G08,G10,G18,G23,G24,G27,G32,
184,G08,G10,G18,G23,G24,G27,G32,
185,G08,G10,G18,G23,G24,G27,G32,
186,G08,G10,G18,G23,G24,G27,G32,
187,G08,G10,G18,G23,G24,G27,G32,
188,G08,G10,G18,G23,G24,G27,G32,
189,G08,G10,G18,G23,G27,G32,,
190,G08,G10,G18,G23,G27,G32,,
191,G08,G10,G18,G23,G27,G32,,
192,G08,G10,G18,G23,G27,G32,,
193,G08,G10,G18,G23,G27,G32,,
194,G08,G10,G18,G23,G27,G32,,
195,G08,G10,G18,G23,G27,G32,,
196,G08,G10,G18,G23,G27,G32,,
197,G08,G10,G23,G24,G27,G32,,
198,G08,G10,G23,G24,G27,G32,,
199,G08,G10,G23,G24,G27,G32,,
200,G08,G10,G23,G24,G27,G32,,
201,G08,G10,G23,G24,G27,G32,,
202,G08,G10,G23,G24,G27,G32,,
