,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,125.38135397312129,-76.44488435736456,5.586783149865261,-0.6846282607044324,345.0,-4640.0,283.0,1475.0,250.0,984.0,310.0,462.0,336.0,924.0,1068.0,1252.0
1,127.64949468451121,-78.40764585176882,5.90742650649605,-1.047294474598433,346.0,-4637.0,269.0,1470.0,242.0,976.0,304.0,455.0,338.0,928.0,1057.0,1248.0
2,126.8865951891648,-78.18406105429045,4.373754554569427,-0.7529442546078668,345.0,-4638.0,268.0,1463.0,241.0,971.0,301.0,453.0,336.0,920.0,1052.0,1242.0
3,126.84337987939887,-78.42332653497276,2.9513397322860198,-0.5217057771405573,345.0,-4638.0,268.0,1464.0,242.0,972.0,301.0,454.0,336.0,920.0,1054.0,1242.0
4,127.18603041602279,-78.8527392502184,1.9836854560623225,-0.4147989628202775,347.0,-4638.0,269.0,1469.0,243.0,975.0,301.0,456.0,337.0,925.0,1058.0,1246.0
5,126.99271060169345,-78.96106525675981,1.1817651932755704,-0.26502076523565,347.0,-4638.0,269.0,1468.0,243.0,975.0,300.0,456.0,337.0,923.0,1058.0,1245.0
6,126.81315303466,-78.96944320919954,0.6632423177344372,-0.14648681420939924,346.0,-4638.0,269.0,1467.0,243.0,974.0,299.0,456.0,337.0,921.0,1057.0,1244.0
7,126.77089693757449,-79.0878818844245,0.4103487375848709,-0.10699102243119898,347.0,-4638.0,269.0,1467.0,244.0,974.0,299.0,456.0,337.0,921.0,1058.0,1244.0
8,126.91825141522656,-79.21285226858753,0.33405443987747685,-0.12398882805530415,347.0,-4639.0,269.0,1469.0,244.0,975.0,299.0,457.0,337.0,923.0,1059.0,1246.0
9,126.88962683044217,-79.21637369163653,0.18561068549679063,-0.07638253009626682,347.0,-4639.0,269.0,1469.0,244.0,975.0,299.0,457.0,337.0,923.0,1059.0,1245.0
10,126.96931980710394,-79.32200647074198,0.16033953857952765,-0.08487993351367035,347.0,-4638.0,270.0,1470.0,244.0,976.0,299.0,458.0,337.0,924.0,1060.0,1246.0
11,127.05770576860397,-79.41123992283399,0.16652175530313806,-0.09627412447558832,348.0,-4638.0,270.0,1471.0,244.0,977.0,299.0,458.0,338.0,925.0,1061.0,1247.0
12,126.98978244477765,-79.3422614277359,0.04466937941493018,-0.0353815230710727,348.0,-4638.0,270.0,1470.0,244.0,976.0,299.0,458.0,337.0,924.0,1060.0,1247.0
13,126.78702030953474,-79.23635967748902,-0.13910461473599628,0.06671833416794987,347.0,-4639.0,269.0,1468.0,244.0,975.0,298.0,457.0,337.0,922.0,1058.0,1245.0
14,126.7921677220609,-79.3112795026293,-0.04587620094617506,0.015442695934083227,347.0,-4639.0,269.0,1469.0,244.0,975.0,298.0,457.0,337.0,922.0,1059.0,1245.0
15,126.76910046885887,-79.36138476811719,-0.02725777166041848,-0.004466805088722329,347.0,-4639.0,269.0,1469.0,244.0,975.0,298.0,458.0,337.0,922.0,1059.0,1245.0
16,126.72934020786623,-79.4741313605405,0.007550966368991132,-0.03594583432511833,347.0,-4639.0,270.0,1469.0,245.0,975.0,298.0,458.0,337.0,922.0,1060.0,1245.0
17,126.82578031858256,-79.5049141075201,0.0595395285553869,-0.06746230127909376,348.0,-4639.0,270.0,1470.0,245.0,976.0,298.0,458.0,337.0,923.0,1060.0,1246.0
18,126.73785254479705,-79.49406851949446,-0.014959995357231734,-0.019965646572684168,347.0,-4639.0,270.0,1469.0,245.0,976.0,298.0,458.0,337.0,922.0,1060.0,1245.0
19,126.61260567690239,-79.55059204808533,-0.08824448836542324,0.006832496644673378,347.0,-4639.0,270.0,1468.0,245.0,975.0,297.0,458.0,337.0,921.0,1060.0,1245.0
20,126.65055424731446,-79.61533597119502,-0.015045771577228001,-0.04155811851158254,348.0,-4639.0,270.0,1469.0,245.0,975.0,297.0,459.0,337.0,922.0,1060.0,1245.0
21,126.62581411600428,-79.59412125104689,-0.0262115657599144,-0.02220019341903328,348.0,-4639.0,270.0,1469.0,245.0,975.0,297.0,458.0,337.0,921.0,1060.0,1245.0
22,126.741735759269,-79.67796590285461,0.10167954091611942,-0.08083494999856836,348.0,-4639.0,270.0,1470.0,245.0,976.0,297.0,459.0,337.0,923.0,1061.0,1246.0
23,126.62448311793881,-79.5929311914833,-0.053465773948861206,0.006119525711291457,348.0,-4639.0,270.0,1469.0,245.0,975.0,297.0,458.0,337.0,921.0,1060.0,1245.0
24,126.575840735567,-79.57698788002345,-0.07456392596347877,0.016428554156135686,348.0,-4639.0,270.0,1468.0,245.0,975.0,297.0,458.0,337.0,921.0,1060.0,1244.0
25,126.62505584852306,-79.59269934238105,-0.011120206988994366,-0.017648958794561076,348.0,-4639.0,270.0,1469.0,245.0,975.0,297.0,458.0,337.0,921.0,1060.0,1245.0
26,126.67417655664413,-79.68767804109206,0.05461459459186263,-0.06264539778751832,348.0,-4639.0,270.0,1469.0,245.0,976.0,297.0,459.0,337.0,922.0,1061.0,1246.0
27,126.7415095530408,-79.67822482887203,0.0851753397697321,-0.07455838829034246,348.0,-4639.0,270.0,1470.0,245.0,976.0,297.0,459.0,337.0,923.0,1061.0,1246.0
28,126.64541887539605,-79.69196225092385,0.001970354343429001,-0.013661022241042702,348.0,-4639.0,270.0,1469.0,245.0,976.0,297.0,459.0,337.0,922.0,1061.0,1245.0
