,0
118,['G10' 'G11' 'G14' 'G18' 'G25']
119,['G10' 'G11' 'G14' 'G18' 'G25']
120,['G10' 'G11' 'G14' 'G18' 'G25']
121,['G10' 'G11' 'G14' 'G18' 'G25']
122,['G10' 'G11' 'G14' 'G18' 'G25']
123,['G10' 'G11' 'G14' 'G18' 'G25']
124,['G10' 'G11' 'G14' 'G18' 'G25']
125,['G10' 'G11' 'G14' 'G18' 'G25']
126,['G10' 'G11' 'G14' 'G18' 'G25']
127,['G10' 'G11' 'G14' 'G18' 'G25']
128,['G10' 'G11' 'G14' 'G18' 'G25']
129,['G10' 'G11' 'G14' 'G18' 'G25']
130,['G10' 'G11' 'G14' 'G18' 'G25']
131,['G10' 'G11' 'G14' 'G18' 'G25']
132,['G10' 'G11' 'G14' 'G18' 'G25']
133,['G10' 'G11' 'G14' 'G18' 'G25']
134,['G10' 'G11' 'G14' 'G18' 'G25']
135,['G10' 'G11' 'G14' 'G18' 'G25']
136,['G10' 'G11' 'G14' 'G18' 'G25']
137,['G10' 'G11' 'G14' 'G18' 'G25']
138,['G10' 'G11' 'G14' 'G18' 'G25']
139,['G10' 'G11' 'G14' 'G18' 'G25']
140,['G10' 'G11' 'G14' 'G18' 'G25']
141,['G10' 'G11' 'G14' 'G18' 'G25']
142,['G10' 'G11' 'G14' 'G18' 'G25']
143,['G10' 'G11' 'G14' 'G18' 'G25']
144,['G10' 'G11' 'G14' 'G18' 'G25']
145,['G10' 'G11' 'G14' 'G18' 'G25']
146,['G10' 'G11' 'G14' 'G18' 'G25']
147,['G10' 'G11' 'G14' 'G18' 'G25']
148,['G10' 'G11' 'G14' 'G18' 'G25']
149,['G10' 'G11' 'G14' 'G18' 'G25']
150,['G10' 'G11' 'G14' 'G18' 'G25']
151,['G10' 'G11' 'G14' 'G18' 'G25']
152,['G10' 'G11' 'G14' 'G18' 'G25']
153,['G10' 'G11' 'G14' 'G18' 'G25']
154,['G10' 'G11' 'G14' 'G18' 'G25']
155,['G10' 'G11' 'G14' 'G18' 'G25']
156,['G10' 'G11' 'G14' 'G18' 'G25']
157,['G10' 'G11' 'G14' 'G18' 'G25']
158,['G10' 'G11' 'G14' 'G18' 'G25']
159,['G10' 'G11' 'G14' 'G18' 'G25']
160,['G10' 'G11' 'G14' 'G18' 'G25']
161,['G10' 'G11' 'G14' 'G18' 'G25']
162,['G10' 'G11' 'G14' 'G18' 'G25']
163,['G10' 'G11' 'G14' 'G18' 'G25']
164,['G10' 'G11' 'G14' 'G18' 'G25']
165,['G10' 'G11' 'G14' 'G18' 'G25']
