,0,1,2,3,4,5,6,7,8,9,10,11
0,345.0,-4640.0,283.0,1475.0,250.0,984.0,310.0,462.0,336.0,924.0,1068.0,1252.0
1,347.0,-4636.0,269.0,1471.0,242.0,976.0,304.0,455.0,338.0,928.0,1058.0,1249.0
2,345.0,-4638.0,268.0,1463.0,241.0,971.0,301.0,453.0,336.0,920.0,1053.0,1242.0
3,345.0,-4638.0,268.0,1464.0,242.0,972.0,301.0,454.0,336.0,920.0,1054.0,1242.0
4,346.0,-4638.0,269.0,1469.0,243.0,975.0,301.0,456.0,337.0,924.0,1058.0,1246.0
5,347.0,-4638.0,269.0,1468.0,244.0,975.0,300.0,457.0,337.0,923.0,1058.0,1245.0
6,347.0,-4638.0,269.0,1467.0,244.0,974.0,299.0,457.0,337.0,921.0,1058.0,1244.0
7,347.0,-4639.0,269.0,1467.0,244.0,974.0,298.0,457.0,337.0,921.0,1058.0,1244.0
8,347.0,-4639.0,269.0,1468.0,244.0,975.0,298.0,457.0,337.0,922.0,1059.0,1245.0
9,347.0,-4639.0,269.0,1468.0,244.0,975.0,298.0,457.0,337.0,922.0,1059.0,1245.0
10,347.0,-4639.0,269.0,1469.0,244.0,975.0,298.0,457.0,337.0,922.0,1059.0,1245.0
11,347.0,-4639.0,269.0,1469.0,244.0,975.0,298.0,457.0,337.0,923.0,1060.0,1246.0
12,347.0,-4639.0,269.0,1468.0,244.0,975.0,298.0,457.0,337.0,922.0,1059.0,1245.0
13,347.0,-4639.0,269.0,1466.0,244.0,974.0,298.0,457.0,337.0,920.0,1058.0,1243.0
14,347.0,-4639.0,269.0,1467.0,244.0,974.0,298.0,457.0,337.0,921.0,1058.0,1244.0
15,347.0,-4639.0,269.0,1467.0,244.0,974.0,298.0,457.0,337.0,921.0,1058.0,1244.0
16,347.0,-4639.0,269.0,1468.0,244.0,974.0,298.0,457.0,337.0,921.0,1059.0,1244.0
17,347.0,-4639.0,269.0,1468.0,244.0,975.0,298.0,457.0,337.0,922.0,1059.0,1245.0
18,347.0,-4639.0,269.0,1467.0,244.0,974.0,298.0,457.0,337.0,921.0,1058.0,1244.0
19,347.0,-4639.0,269.0,1466.0,244.0,974.0,297.0,457.0,336.0,920.0,1058.0,1243.0
20,347.0,-4639.0,269.0,1467.0,245.0,974.0,297.0,458.0,337.0,920.0,1059.0,1244.0
21,347.0,-4639.0,270.0,1467.0,245.0,974.0,297.0,458.0,337.0,920.0,1059.0,1244.0
22,348.0,-4639.0,270.0,1469.0,245.0,975.0,297.0,458.0,337.0,922.0,1060.0,1245.0
23,348.0,-4639.0,270.0,1468.0,245.0,975.0,297.0,458.0,337.0,921.0,1060.0,1244.0
24,348.0,-4639.0,270.0,1468.0,245.0,975.0,297.0,459.0,337.0,921.0,1060.0,1244.0
25,348.0,-4639.0,270.0,1469.0,246.0,976.0,297.0,459.0,337.0,922.0,1061.0,1245.0
26,348.0,-4640.0,270.0,1470.0,245.0,976.0,296.0,459.0,337.0,922.0,1061.0,1246.0
27,348.0,-4640.0,270.0,1470.0,245.0,976.0,296.0,459.0,337.0,922.0,1061.0,1246.0
28,348.0,-4639.0,270.0,1469.0,245.0,976.0,296.0,459.0,337.0,922.0,1061.0,1245.0
29,349.0,-4639.0,271.0,1471.0,246.0,977.0,297.0,460.0,338.0,924.0,1063.0,1247.0
30,349.0,-4639.0,271.0,1472.0,246.0,978.0,297.0,460.0,338.0,924.0,1063.0,1247.0
31,349.0,-4639.0,271.0,1473.0,247.0,978.0,297.0,461.0,338.0,925.0,1064.0,1248.0
32,349.0,-4640.0,270.0,1473.0,246.0,978.0,296.0,460.0,338.0,925.0,1064.0,1248.0
33,349.0,-4639.0,271.0,1473.0,247.0,978.0,297.0,461.0,338.0,925.0,1064.0,1248.0
34,348.0,-4640.0,270.0,1471.0,246.0,977.0,296.0,460.0,337.0,923.0,1063.0,1247.0
35,348.0,-4640.0,270.0,1471.0,246.0,977.0,295.0,460.0,337.0,923.0,1063.0,1246.0
36,349.0,-4639.0,271.0,1472.0,247.0,978.0,296.0,461.0,338.0,924.0,1064.0,1247.0
37,349.0,-4639.0,271.0,1473.0,247.0,978.0,296.0,461.0,338.0,924.0,1064.0,1248.0
38,349.0,-4639.0,271.0,1473.0,247.0,978.0,296.0,461.0,338.0,925.0,1064.0,1248.0
39,348.0,-4640.0,270.0,1471.0,246.0,977.0,295.0,460.0,337.0,923.0,1063.0,1246.0
40,348.0,-4640.0,270.0,1471.0,246.0,977.0,295.0,460.0,337.0,923.0,1063.0,1246.0
41,348.0,-4640.0,270.0,1471.0,246.0,977.0,295.0,460.0,337.0,922.0,1063.0,1246.0
42,348.0,-4640.0,270.0,1470.0,246.0,976.0,295.0,460.0,337.0,921.0,1062.0,1245.0
43,348.0,-4640.0,270.0,1468.0,246.0,975.0,295.0,459.0,337.0,920.0,1061.0,1244.0
44,348.0,-4640.0,270.0,1468.0,246.0,975.0,295.0,459.0,337.0,920.0,1061.0,1244.0
45,348.0,-4640.0,270.0,1468.0,246.0,975.0,295.0,459.0,337.0,920.0,1061.0,1244.0
46,348.0,-4640.0,270.0,1468.0,246.0,975.0,295.0,459.0,337.0,920.0,1061.0,1244.0
47,348.0,-4640.0,270.0,1468.0,246.0,975.0,295.0,459.0,337.0,920.0,1061.0,1244.0
48,348.0,-4640.0,270.0,1468.0,246.0,975.0,295.0,459.0,337.0,920.0,1061.0,1244.0
49,348.0,-4640.0,270.0,1467.0,246.0,975.0,295.0,459.0,337.0,919.0,1060.0,1243.0
50,348.0,-4640.0,270.0,1467.0,246.0,975.0,295.0,459.0,337.0,919.0,1060.0,1243.0
51,348.0,-4640.0,270.0,1467.0,246.0,975.0,295.0,459.0,337.0,919.0,1060.0,1243.0
52,348.0,-4640.0,270.0,1468.0,246.0,975.0,295.0,459.0,337.0,920.0,1061.0,1244.0
53,348.0,-4640.0,270.0,1468.0,246.0,975.0,295.0,459.0,337.0,920.0,1061.0,1244.0
54,348.0,-4640.0,270.0,1469.0,246.0,975.0,295.0,459.0,337.0,920.0,1061.0,1244.0
55,348.0,-4640.0,270.0,1468.0,246.0,975.0,295.0,459.0,337.0,919.0,1061.0,1244.0
